"Borough","Borough Code","Behavioral Health Region","Behavioral Health Region Code","Borough Population","Total Cases","New Cases (Last 7 Days)","Total Deaths","Cases (Avg. Last 7 Days","Case Rate (Last 7 Days)","Case Rate (Avg. Last 7 Days)"
Aleutians East Borough,13,Southwest Region,11,2925,807,0,2,0,0.0,0.0
Aleutians West Census Area,16,Southwest Region,11,5544,1199,1,3,0,18.0,2.6
Anchorage Municipality,20,Anchorage Municipality,1,288970,123355,129,619,18,44.6,6.4
Bethel Census Area,50,Y-K Delta Region,10,17868,13428,5,48,1,28.0,4.0
Bristol Bay plus Lake and Peninsula,300,Southwest Region,11,2420,972,2,1,0,82.6,11.8
Chugach Census Area,63,Other Interior Region,7,6751,2215,1,12,0,14.8,2.1
Copper River Census Area,66,Other Interior Region,7,2699,1299,1,11,0,37.1,5.3
Denali Borough,68,Other Interior Region,7,1806,496,0,1,0,0.0,0.0
Dillingham Census Area,70,Southwest Region,11,4773,2296,1,13,0,21.0,3.0
Fairbanks North Star Borough,90,Fairbanks North Star Borough,2,97159,32828,25,171,4,25.7,3.7
Haines Borough,100,Other Southeast Region - Northern,8,2520,816,0,2,0,0.0,0.0
Juneau City and Borough,110,Juneau City and Borough,3,31773,11679,23,28,3,72.4,10.3
Kenai Peninsula Borough,122,Kenai Peninsula Borough,4,58934,21858,20,125,3,33.9,4.8
Ketchikan Gateway Borough,130,Other Southeast Region - Southern,9,13677,5178,9,27,1,65.8,9.4
Kodiak Island Borough,150,Southwest Region,11,12611,5780,7,13,1,55.5,7.9
Kusilvak Census Area,158,Y-K Delta Region,10,8088,5059,2,15,0,24.7,3.5
Matanuska-Susitna Borough,170,Matanuska-Susitna Borough,5,107305,40986,20,276,3,18.6,2.7
Nome Census Area,180,Northwest Region,6,9769,7729,2,7,0,20.5,2.9
North Slope Borough,185,Northwest Region,6,9771,5027,0,16,0,0.0,0.0
Northwest Arctic Borough,188,Northwest Region,6,7583,5905,3,22,0,39.6,5.7
Petersburg Borough,195,Other Southeast Region - Northern,8,3189,915,0,8,0,0.0,0.0
Prince of Wales-Hyder Census Area,198,Other Southeast Region - Southern,9,6090,1868,3,11,0,49.3,7.0
Sitka City and Borough,220,Other Southeast Region - Northern,8,8523,3575,13,10,2,152.5,21.8
Skagway Municipality,230,Other Southeast Region - Northern,8,1147,257,0,0,0,0.0,0.0
Southeast Fairbanks Census Area,240,Other Interior Region,7,6937,2357,4,21,1,57.7,8.2
Unknown,999,Unknown,99,0,6,0,0,0,0.0,0.0
Wrangell City and Borough,275,Other Southeast Region - Northern,8,2379,808,2,2,0,84.1,12.0
Yakutat plus Hoonah-Angoon,400,Other Southeast Region - Northern,8,2648,988,3,5,0,113.3,16.2
Yukon-Koyukuk Census Area,290,Other Interior Region,7,5044,1827,2,16,0,39.7,5.7
